机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600585",海螺水泥,2015-04-29,2015-01-01,2015-03-31,2015-03-31,合并本期,定期报告,14831330548,84216893,223933230,15139480671,10955079313,1323971336,1654015292,355038822,14288104763,851375908,,,3752705,,98901773,102654478,1555428777,3700000000,,268928510,45000000,5569357287,-5466702809,144550000,322966974,,,467516974,316000000,67180231,,383180231,84336743,1861196,,-4529128962,12512121499,7982992537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2015-08-22,2015-01-01,2015-06-30,2015-06-30,合并本期,定期报告,31611335888,138939097,642089131,32392364116,21879917634,2161431627,3548870361,615601791,28205821413,4186542703,8372819560,23358022,90303227,,210950096,8697430905,2840508326,11510913473,,1713608950,45000000,16110030749,-7412599844,192549143,1330264355,,,1522813498,1254037858,4041461984,4245550,5299745392,-3776931894,-15099881,,-7018088916,12512121499,5494032583,,,4741126866,,2046539865,128980937,,-72063738,,-16005413,324964740,-1885153821,-111169999,-1504775,-699454505,201569766,-471287220,,4186542703,,,,,,5494032583,12512121499,,,,-7018088916,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2015-10-27,2015-01-01,2015-09-30,2015-09-30,合并本期,定期报告,45125122552,222974277,822587188,46170684017,30300943050,2907184682,5795762741,828742787,39832633260,6338050757,12589194190,29199142,108654472,,500190565,13227238369,4662424349,14620945992,,1926841110,45000000,21255211451,-8027973082,327549143,1558050355,,,1885599498,2314768003,4479208702,59717163,6853693868,-4968094370,78336450,,-6579680245,12512121499,5932441254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225553525,
"	600585",海螺水泥,2016-03-24,2015-01-01,2015-12-31,2015-12-31,合并本期,定期报告,64665931474,314813053,1091927285,66072671812,43703159647,3989480762,7368859920,1102997426,56164497755,9908174057,17732781655,38584341,139530553,,1014737605,18925634154,5167383546,22396072886,,3564426595,517017860,31644900887,-12719266733,368562013,2899610690,,,3268172703,3670050418,4881798029,111648727,8663497174,-5395324471,-20669988,,-8227087135,12512121499,4285034364,,,7627951676,-140412,4212120263,247199755,,-69626749,,25263611,574732517,-1845897426,-170459819,-21662047,161261093,-895512677,62944272,,9908174057,,,,,,4285034364,12512121499,,,,-8227087135,,,,,,,,,,,,,,,,,472995599,
