机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600585",海螺水泥,2014-04-25,2014-01-01,2014-03-31,2014-03-31,合并本期,定期报告,18132084570,47800926,206448621,18386334117,11783999558,1191661421,2019865717,371628426,15367155122,3019178995,1950341591,20707808,7798273,,91330142,2070177814,2183898884,1794856112,,264791061,6000000,4249546057,-2179368243,,313204979,,,313204979,1409000000,62507731,,1471507731,-1158302752,10165565,,-308326435,6518932288,6210605853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2014-08-22,2014-01-01,2014-06-30,2014-06-30,合并本期,定期报告,39180044491,146641411,354652266,39681338168,23881212700,2030333410,4976279844,639518187,31527344141,8153994027,2972241592,41781562,7906215,,187748270,3209677639,3413841779,2002440769,,562276146,103858406,6082417100,-2872739461,940000,576053256,,,576993256,2482522727,2543580883,419645031,5445748641,-4868755385,2468571,,414967752,6518932288,6933900040,,,6142934166,-53912,1788438204,109370829,,581971,,1617178,371008549,25605928,-67281482,-5708493,-1032163552,2296365051,-1463630113,-13090297,8153994027,,,,,,6933900040,6518932288,,,,414967752,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2014-10-21,2014-01-01,2014-09-30,2014-09-30,合并本期,定期报告,58865474391,236134029,774677670,59876286090,36173757171,2631667743,7154560484,786688872,46746674270,13129611820,6272241592,91981453,9579675,,404208570,6778011290,5010178198,4501631313,,562276140,132373135,10206458786,-3428447496,50940000,816053257,,,866993257,2869573747,2923722761,560040080,6353336588,-5486343331,1062208,,4215883201,6518932288,10734815489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2015-03-24,2014-01-01,2014-12-31,2014-12-31,合并本期,定期报告,81338901079,325798915,807223803,82471923797,51290630761,3863222951,8713350829,950230647,64817435188,17654488609,9079768047,91981453,18357028,,522964358,9713070886,6973545374,6341697959,,1044738512,204202951,14564184796,-4851113910,90476265,1041470074,,,1131946339,4054696203,3233974634,628951199,7917622036,-6785675697,-24509791,,5993189211,6518932288,12512121499,,,11587595783,-579992,3599239191,228528674,,4022150,,-21317083,696355999,21413141,-59538074,4839950,-577354843,3483699176,-1299325166,-13090297,17654488609,,,,,,12512121499,6518932288,,,,5993189211,,,,,,,,,,,,,,,,,,
