机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600585",海螺水泥,2012-04-20,2012-01-01,2012-03-31,2012-03-31,合并本期,定期报告,13986841156,45230342,317452205,14349523703,9559428306,902303268,1970146207,285352194,12717229975,1632293728,210000000,19251258,5492629,,146334224,381078111,1642590329,0,,157009740,6000000,1805600069,-1424521958,67725700,391855161,,6861120,466441981,1538300000,182706487,238259,1721244746,-1254802765,,,-1047030995,7747188137,6700157142,,,,,0,,0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2012-08-15,2012-01-01,2012-06-30,2012-06-30,合并本期,定期报告,31004279203,98214465,422697528,31525191196,18989801868,1544639333,3810826598,447184710,24792452509,6732738687,970000000,19732836,11263135,,150824095,1151820066,4305470228,232000000,,2296517663,6000000,6839987891,-5688167825,94386068,2486852109,,16332747,2597570924,2734272727,2622355767,333556941,5690185435,-3092614511,,,-2048043649,7747188137,5699144488,,,2970221439,-20000,1469519648,75868672,0,-8269252,,9349023,446243475,7352539,-38859428,-5177308,-348044063,4656243241,-2500155010,-1534289,6732738687,,,,,,5699144488,7747188137,,,,-2048043649,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2012-10-25,2012-01-01,2012-09-30,2012-09-30,合并本期,定期报告,43679460876,122562476,544070378,44346093730,27705507200,1772137851,5546475972,864388483,35888509506,8457584224,1018230000,23671406,19653940,,165519133,1227074479,4737298921,517563916,,2373519119,6000000,7634381956,-6407307477,94386068,2916852109,,22062783,3033300960,3067704836,2758474664,402832030,6229011530,-3195710570,,,-1145433823,7747188137,6601754314,,,,,0,,0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2013-03-23,2012-01-01,2012-12-31,2012-12-31,合并本期,定期报告,60361989158,226453658,864504428,61452947244,39456030996,2800073299,6610940705,1077262893,49944307893,11508639351,1051866394,23671405,27390137,,264476883,1367404819,6815067397,565523045,,2421333127,35143104,9837066673,-8469661854,122108688,3306055929,5997000000,27193148,9452357765,8349639943,3098484872,675156867,12123281682,-2670923917,-4267684,,363785896,7747188137,8110974033,,,6462229748,-75114,3115422209,160523900,,-22743382,,-2706885,998855389,-4112427,-48235105,-5950630,446217293,2028939237,-1615281274,-4443608,11508639351,,,,,,8110974033,7747188137,,,,363785896,,,,,,,,,,,,,,,,,,
