代码,名称,起始日期,截止日期,报表类别,币种,汇率(报表货币兑港元),固定资产,投资,其他非流动资产,非流动资产总值,流动资产总值,其中：存货,其中：现金及银行结存,总资产,短期债项,流动负债总值,长期债项,其他非流动负债及少数股东权益,总债项,股本,储备,股东权益
"	03948",伊泰煤炭,2014/01/01,2014/06/30,半年报,人民币,1.2495,29886327000,5216509000,2423626000,37526462000,16502068000,1902832000,9772478000,54028530000,1546656000,5887346000,22402110000,4138460000,23948766000,3254007000,18346607000,21600614000
"	03948",伊泰煤炭,2014/01/01,2014/12/31,年报,人民币,1.2504,36941132000,6053030000,2693937000,45688099000,13055979000,1709750000,7002422000,58744078000,1218282000,5626640000,25457194000,4728504000,26675476000,3254007000,19677733000,22931740000
