代码,名称,起始日期,截止日期,报表类别,币种,汇率(报表货币兑港元),经营业务收到的现金/经营活动之现金流量(经调整),已收利息,已付利息,已收股息,已派股息,其他(投资回报),投资回报及融资费用之现金流量净额,退回/(已缴)税项,增添固定资产,投资增加,出售固定资产,投资减少,与关连人士之现金流量净额(投资活动),其他(投资活动),投资活动之现金流量(经调整),融资活动前之现金流量净额,新增贷款,偿还贷款,债务融资收到的现金,股权融资收到的现金,与关连人士之现金流量净额(融资活动),偿还债务支付的现金,其他(融资活动),融资活动之现金流量(经调整),现金及现金等价物之增加/(减少),年初之现金及现金等价物,外币汇率变动之影响/其他,年终之现金及现金等价物,核数师意见,经营活动产生的现金流量净额(报告),投资活动产生的现金流量净额(报告),融资活动产生的现金流量净额(报告)
"	03948",伊泰煤炭,2014/01/01,2014/06/30,半年报,人民币,1.2495,,,,,,,,,,,,,,,,,,,,,,,,,5608141000,3808946000,19000,9417106000,,3945837000,-4017902000,5680206000
"	03948",伊泰煤炭,2014/01/01,2014/12/31,年报,人民币,1.2504,,143975000,-1411232000,94421000,-1189965000,0,-2362801000,-408090000,-8591480000,-12770275000,27025000,11078413000,0,-1883823000,,-8757506000,9655250000,-4276504000,4465560000,0,139428000,0,0,,1226228000,3808946000,-4230000,5030944000,无保留意见,5745435000,-11901744000,7382537000
