机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	000961",中南建设,2016-04-30,2016-01-01,2016-03-31,2016-03-31,合并本期,定期报告,7442371136.13,17854.8,2564129246.3,10007883978.58,4985302485.43,1624679762.61,856271610.83,5339983365.76,12806237224.63,-2798353246.05,,23008.9,320000,,12750,355758.9,23430263.21,162344575.35,,,12750,185787588.56,-185431829.66,5775319981.47,2407351037.1,,117354791,8300025809.57,1280560144.52,105847652.37,17816217.9,1404224014.79,6895801794.78,,,3912016719.07,6286850360.41,10198867079.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365741.35,,,,,,,,,,3443836.56,
"	000961",中南建设,2016-08-18,2016-01-01,2016-06-30,2016-06-30,合并本期,定期报告,16000367621.17,349890,2779454015.35,18780171526.52,10846173836.73,1974627780.67,1710014680.52,7513452720.83,22044269018.75,-3264097492.23,1415552954.49,6299173.33,320000,,446316.36,1422618444.18,28902849.2,714844575.35,,,28084338.52,771831763.07,650786681.11,6084415007.76,6024712666,2485750023.71,,14594877697.47,7791450372.08,975467410.9,178988255.62,8945906038.6,5648971658.87,4831.72,,3035665679.47,3879479500.13,6915145179.6,,,305533979.33,29433496.2,102307999.85,33220262.04,695950881.78,-4977033.65,,-1261979.13,144503501.38,-26770337.03,-123136600.12,,-2050239952.71,-3680333353.75,851102992.72,460568650.86,-3264097492.23,,,,,,9322516039.88,6286850360.41,,,,3035665679.47,,,,,,,,,,,,,,,,,3443836.56,
"	000961",中南建设,2016-10-27,2016-01-01,2016-09-30,2016-09-30,合并本期,定期报告,26255552159.51,598020.58,5440381722.91,31696531903,15837138184.83,2359092933.07,2281348443.33,13480072921.67,33957652482.9,-2261120579.9,5715043091.16,21214843.96,644500,,1446316.36,5738348751.48,39760650.78,7478866697.35,,,28084338.52,7546711686.65,-1808362935.17,6206395007.76,11374986666,4369676023.71,0,21951057697.47,12134520458.27,1799328647.4,257174161.23,14191023266.9,7760034430.57,4831.72,,3690555747.22,3879479500.13,7570035247.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3443836.56,
"	000961",中南建设,2017-04-25,2016-01-01,2016-12-31,2016-12-31,合并本期,定期报告,37727456527.7,3480270.15,4995415431.02,42726352228.87,33877994296.67,3272690101.24,3014566645.65,7061150458.7,47226401502.26,-4500049273.39,39755749322.4,28513585.74,8822650,-37009193.65,,39756076364.49,563956795.68,41806908000,,-38155176.99,,42332709618.69,-2576633254.2,5211234728.47,18945660000,5365150000,1701256745.46,31223301473.93,16931523352.18,2717501735.2,1033882719.26,20682907806.64,10540393667.29,-2720766.86,,3460990372.84,3879479500.13,7340469872.97,,,428198473.94,138364129.03,244163596.68,19534390.74,22196046.16,-7717751.45,0,-1522477.2,360241074.87,74288422.86,-144419750.79,417710.6,-5542530510.28,-10345410143.19,10254147514.64,,-4500049273.39,,,,,,7340469872.97,3879479500.13,,,,3460990372.84,,,,,,,,,,,,,,,,626914747,168444.38,
