机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
"	000961",中南建设,2015-04-24,2015-03-31,2015-03-31,合并本期,定期报告,6584646591.25,5397674.55,11131416.73,6290776911.83,3266709646.32,4127219582,,,,60344471425.31,,,70050000,80700403247.99,,,,35013441.87,1293895766.16,2187210366.81,72106786.91,,100,,,544706705.31,,4188653.58,2356371650.08,595247764.89,,7088741235.61,87789144483.6,4348500000,,4529711710.81,4955896394.94,30627984103.17,114789180.3,2382484744.19,122739726.03,5165754.69,2396402288.81,,10823210000,1427643416.28,61734527319.22,11515850000,991558743.91,212849010.78,,,,47950929.71,12768208684.4,74502736003.62,1167839226,1062956131.99,258435813.64,,,,6470597177.8,8954940205.71,4331468274.27,,,13286408479.98,87789144483.6,-4888143.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2015-08-25,2015-06-30,2015-06-30,合并本期,定期报告,6021273625.07,6250679.75,40418312.52,6025905528.28,2849732922.73,4061221614.98,,,,62625043054.97,,,344250390.08,81974096128.38,,,,34789274.88,1287639127.83,2160868510.73,117104337.79,,,,,543805426.29,,4188653.58,2451349289.63,623244096.58,,7222988717.31,89197084845.69,5987000000,,4615865502.61,5498129326.19,31106058949.35,395378897.97,2312193594.67,80354520.55,5165754.69,1962735028.73,,8874810000,0,60837691574.76,11324200000,3164071022.99,384703217.21,,,,,14920925169.91,75758616744.67,1167839226,1062956031.4,258435813.64,,,,6776819791.92,9258345352.42,4180122748.6,,,13438468101.02,89197084845.69,-7705510.54,47950929.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2015-10-28,2015-09-30,2015-09-30,合并本期,定期报告,4414752522.58,2281010.55,33824060.34,6236578362.75,3282366737.98,4132705801.84,,,,65765697764.52,,,620050000,84488256260.56,,,,34137161.35,1281382489.47,2143296925.64,119106245.46,,,,,540804932.05,,4188653.58,2632181921.57,834700388.57,,7589798717.69,92078054978.25,4310500000,,4205492707.53,4819972130.21,33199673357.57,592194092.34,2454907662.88,42528493.15,84313273.21,2671769980,,7353560000,993604646.55,60728516343.44,8772150000,8314344083.04,373972396.26,,,,50503791.12,17510970270.42,78239486613.86,1167839226,1048884413.41,258435813.64,,,,6682281168.67,9145021947.47,4693546416.92,,,13838568364.39,92078054978.25,-12418674.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2016-04-30,2015-12-31,2015-12-31,合并本期,定期报告,6286850360.41,5447565.33,135617371.1,6047370989.94,3995492616.83,4668238630.44,,,,65266584183.48,,,1473271083.41,87878872800.94,51000000,,11500000,439500629.74,1257072879.35,2124600846.9,118450028.14,,,,,561419595.41,,4188653.58,2700556695.78,770697374.18,308341173.22,8347327876.3,96226200677.24,3680500000,,3793050799.48,5065061746.16,35327166366.43,944167158.87,2535972221.64,281027074.6,79147518.52,3402400722.05,,5008094793.93,1936599491.19,62053187892.87,10138140000,10007758422.38,750660553.56,,,,,20958284307.46,83011472200.33,1167839226,1046650340.63,258435813.64,,,,6566448526.67,9038707967.02,4176020509.89,,,13214728476.91,96226200677.24,-665939.92,61725331.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
