机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
"	000961",中南建设,2016-04-30,2016-03-31,2016-03-31,合并本期,定期报告,9699119575.64,6675652.93,162124997.69,6389307556.77,5006330271.02,5387669537.59,,,,66823993869.06,,,1056358825.8,94531580286.5,51000000,,11500000,446385586.95,1216652235.51,2062017570.46,119945667.72,,,,,558860628.28,,4188653.58,2786744629.64,784008602.94,309655634.31,8350959209.39,102882539495.89,4581100000,,4476697988.49,5735207314.34,36006487184.41,112669054.87,2311191598.7,273704882.49,79147518.52,3807119837.63,,3636732020.06,1509724765.92,62529782165.43,10923700000,10626258422.38,770177123.24,,,,61725331.52,22381860877.14,84911643042.57,1483915519,5319392204.1,258435813.64,,,,6715289988.85,13779268257.53,4191628195.79,,,17970896453.32,102882539495.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2016-08-18,2016-06-30,2016-06-30,合并本期,定期报告,9322516039.88,4185586.2,46389169.17,6362403139.79,4778351890.11,7223764233.76,,,,67316824136.19,,,198835179.41,95253269374.51,50000000,,21500000,558523553.21,1222328938.49,1994438406.55,126583157.96,,,,,556594628.96,,4602545.67,2679323998.17,893833974.3,314981666.19,8422710869.5,103675980244.01,4124869289.62,,4150938197.88,5668480491.36,37704046255.7,140722518.9,1702497965.87,192716608.85,110742830.1,3583296168.28,,4228264736.9,985944114.28,62592519177.74,9836360000,12493508446.09,905313996.16,,,,,23296206726.78,85888725904.52,3709788797,3254762232.95,257594590.17,,,,6834136242.81,14063828347.1,3723425992.39,,,17787254339.49,103675980244.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2016-10-27,2016-09-30,2016-09-30,合并本期,定期报告,9977406107.63,4227302.24,251643571.54,6522791499.62,4843983150.67,6000525892.19,,,,69931813945.77,,,2075890804.13,99608282273.79,50000000,,21500000,742022644.55,1203681058.83,1981317366.16,126993688.56,,-141452.51,,,555421927.7,,4602545.67,2613211111.38,890224873.5,314981666.19,8503815430.03,108112097703.82,3968970500,,3535459413.14,5938992702.73,39756151998.87,400395932.25,1614169960.3,1355833.35,110742830.1,3360398050.25,,3685075234.7,574388747.27,62946101202.96,12434500000,14402209365.74,809102352.17,,,,0,27707302996.65,90653404199.61,3709788797,3254731808.68,252765878.41,,,,6876575414.2,14101408382.46,3357285121.75,,,17458693504.21,108112097703.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2017-04-25,2016-12-31,2016-12-31,合并本期,定期报告,9040699662.87,24341361.33,395511798.48,6508496907.68,9571917895.47,8364733273.95,,,,74130977816.26,,7500000,1371980061.52,109416158777.56,50000000,,127933617.19,508239822.07,1186438929.76,1958258339.85,500013182.01,,,,,605680878.68,,4188653.58,1925344359.24,922349013.06,,7788446795.44,117204605573,3427000000,,3320734914.14,9314139249.72,40047628318.56,724036413.26,1792072403.42,426333696.36,211958.48,6111411384.71,,3890687592.7,335891249.61,69390147180.96,15465801570,15410727615.06,673245192.03,,,417710.6,,31610016953.03,101000164133.99,3709788797,2654260461.24,264385328.13,,,,6908863677.04,13557988442.57,2646452996.44,,,16204441439.01,117204605573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
