机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
"	000961",中南建设,2014-04-26,2014-03-31,2014-03-31,合并本期,定期报告,6309569092.23,2543653.84,30226113.7,5917972727.64,4944354690.02,5189560131.05,,,,42577966519.04,,,50000,64972242927.52,,,,17258927.65,579709493.36,1617842922.63,201624994.74,,,,,592485769.33,,4188653.58,1771510995.9,513353053.18,,5297974810.37,70270217737.89,4911200000,,1858730000,4690673899.24,23676404441.3,100115688.12,2456455529.45,,1460754.45,3692819590.47,,4174030000,0,45561889903.03,13915803231.95,,,,,,8198500,13924001731.95,59485891634.98,1167839226,797473267.6,245096977.88,,,,5713938484.85,7924291550.63,2860034552.28,-56405.7,,10784326102.91,70270217737.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2014-08-14,2014-06-30,2014-06-30,合并本期,定期报告,6546551036.8,2766323.63,30323943.33,5936224039.85,4830118020.61,4542684882.45,,,,47723202513.55,,,50000,69611920760.22,,,,36686479.25,571990615.89,1624790942.83,279157753.04,,,,,541247652.16,,4188653.58,1885389071.8,476957555.4,,5420408723.95,75032329484.17,5943900000,,2227405576,4442423474.52,24589589131.51,269507265.91,2272990707.09,,1460754.45,2844175584.48,,6287640000,1006666666.67,49885759160.63,13037560000,,,,,,7982750,13045542750,62931301910.63,1167839226,724171835.08,231334575.93,,,,6042874992.65,8166164223.96,3934863349.58,-56405.7,,12101027573.54,75032329484.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2014-10-29,2014-09-30,2014-09-30,合并本期,定期报告,7421255047.68,5716577.01,25801588.06,7246573868.48,3411243838.82,4132517599.35,,,,52171433129.05,,,50000,74414591648.45,,,,36182116.58,571817128.32,1633545213.23,313384639.04,,,,,539813391.65,,4188653.58,2033073485.29,556551171.21,,5688555798.9,80103147447.35,5709500000,,2654475389.73,4315092480.95,25997673137.48,610088762.64,2383663593.71,,2096629.54,2893376408.8,,7575650000,1026666666.68,53168283069.53,13249310000,1013333333.34,,,,,7874875,14270518208.34,67438801277.87,1167839226,724171835.08,231334575.93,,,,6001537821.49,8124827052.8,4539519116.68,,,12664346169.48,80103147447.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2015-04-10,2014-12-31,2014-12-31,合并本期,定期报告,6642865551.86,3759572.55,41418404.01,6112825352.42,2863408079.24,3828764813.99,,,,57211824994.37,,,629050000,77333916768.44,,,,35533907.55,1300152404.49,2205545636.45,67155146.49,,,,,547973258.72,,4188653.58,2211895984.39,573938220.39,,6946383212.06,84280299980.5,4198500000,,2703051973.2,5209951976.83,28390603350.32,1204352798.33,2734538249.92,83287671.23,,2745080744.66,,11354422773.87,1425923866.56,60049713404.92,10139950000,989998448.5,178336236.91,,,,,11359639430.34,71409352835.26,1167839226,1062956131.99,258435813.64,,,,6331892751.27,8816235779.18,4054711366.06,,,12870947145.24,84280299980.5,-4888143.72,51354744.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
