机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	000961",中南建设,2012-04-24,2012-01-01,2012-03-31,2012-03-31,合并本期,定期报告,2944483291.15,615476.39,363906398.15,3309005165.69,1415113822.72,991189590.12,266319327.44,431917476.61,3104540216.89,204464948.8,994000,14180.72,,6600000,0,7608180.72,4711801.48,0,,,0,4711801.48,2896379.24,150090000,2574710000,,0,2724800000,2071960000,170234304.45,57194055.57,2299388360.02,425411639.98,,,632772968.02,2876247663.83,3509020631.85,,,,,0,,0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2012-08-23,2012-01-01,2012-06-30,2012-06-30,合并本期,定期报告,6847596577.04,901621.53,479033089.64,7327531288.21,4220904805.43,1223093815.7,733337277.68,895617875.15,7072953773.96,254577514.25,994000,14453.42,,6600000,0,7608453.42,17169218.05,200000000,,,0,217169218.05,-209560764.63,150090000,4459650000,,0,4609740000,3423760000,469357506.77,17380000,3910497506.77,699242493.23,,,744259242.85,2876247663.83,3620506906.68,,,460851127.83,1873273.41,59165857.81,508540.88,-255662978.59,13102.04,,-81980.64,198682635.53,103754.11,-45523263.35,,-4159819946.79,124296183.44,3996137833.61,-125966625.04,254577514.25,,,,,,3620506906.68,2876247663.83,,,,744259242.85,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2012-10-19,2012-01-01,2012-09-30,2012-09-30,合并本期,定期报告,10114660114.95,1788802.97,918561377.72,11035010295.64,6937083688.85,1464797132.67,1086052322.92,1119054617.06,10606987761.5,428022534.14,10994000,14749.52,,6600000,0,17608749.52,28637979.11,200000000,,,0,228637979.11,-211029229.59,210090000,7058950000,,0,7269040000,5286360000,745730729.57,50517222.23,6082607951.8,1186432048.2,,,1403425352.75,2876247663.83,4279673016.58,,,,,0,,0,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2013-04-19,2012-01-01,2012-12-31,2012-12-31,合并本期,定期报告,14360807547.75,3342829.59,2438149591.61,16802299968.95,11903182565.8,1730847274.71,1470701086.57,1975388159.24,17080119086.32,-277819117.37,16994000,1139058.1,846218,0,0,18979276.1,87787235.35,0,0,0,1750000,89537235.35,-70557959.25,230090000,11654950000,0,0,11885040000,7740460000,1266443518.8,1152187622.23,10159091141.03,1725948858.97,80223.54,0,1377652005.89,2246171617.25,3623823623.14,,,1071879846.26,146012489.8,173968147.63,2700626.58,382636.48,-11196746.43,53008.78,-63240.99,518798607.24,-545155.84,-115533851.87,0,-7632171312.91,-2456470169.84,8024365997.74,0,-277819117.37,0,0,0,0,0,3623823623.14,2246171617.25,0,0,0,1377652005.89,,,,,,,,,,,,,,,,,,
