机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	000961",中南建设,2014-04-26,2014-01-01,2014-03-31,2014-03-31,合并本期,定期报告,5348974947.63,593600,1128910667.41,6478479215.04,5583300897.84,1365971837.12,696192804.31,1387572437.03,9033037976.3,-2554558761.26,29400000,301.12,,,,29400301.12,5007655.28,15000000,,,,20007655.28,9392645.84,1127804000,4220620000,,,5348424000,2474933851.38,403057587.25,39764125,2917755563.63,2430668436.37,,,-114497679.05,6424066771.28,6309569092.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2014-08-14,2014-01-01,2014-06-30,2014-06-30,合并本期,定期报告,10207684953.63,597080.36,1116831439.16,11325113473.15,12950085187.73,1746598610.21,1527201955.35,1450208632.26,17674094385.55,-6348980912.4,29400000,650.4,186511.09,,,29587161.49,20083091.12,373319664.2,,,,393402755.32,-363815593.83,2479784000,9574120000,993360000,,13047264000,5031070000,1129578426.86,51334801.39,6211983228.25,6835280771.75,,,122484265.52,6424066771.28,6546551036.8,,,512765572.43,-2834298.47,74533179.7,7512806.92,373668664.2,-429842.14,,27921.59,199455560.64,71993.55,-34089801.52,,-9019428291.57,-670056545.67,2272242770.5,-62420602.56,-6348980912.4,,,,,,6546551036.8,6424066771.28,,,,122484265.52,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2014-10-29,2014-01-01,2014-09-30,2014-09-30,合并本期,定期报告,13963912581.82,1079635.23,1478321808.53,15443314025.58,16418475137.62,2172077267.89,1930330218.64,2528334393.04,23049217017.19,-7605902991.61,79400000,95520.25,195938.09,,,79691458.34,28838399.91,63344664.2,,,2400000,94583064.11,-14891605.77,3175950000,12939291698.11,1980735000,,18095976698.11,7661910000,1732013929.91,84069894.42,9477993824.33,8617982873.78,,,997188276.4,6424066771.28,7421255047.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	000961",中南建设,2015-04-10,2014-01-01,2014-12-31,2014-12-31,合并本期,定期报告,17617604991.47,1076154.87,6463403266.17,24082084412.51,20019532979.1,3007013918.4,2505434912.51,4417687638.05,29949669448.06,-5867585035.55,10696360000,12841846.88,1426698.09,,,10710628544.97,355616346.07,11400647920.34,,,,11756264266.41,-1045635721.44,3132094837.6,16092100000,2379135000,497163920.27,22100493757.87,11655087083.33,2679045100.06,983618084.02,15317750267.41,6782743490.46,-3958335.86,,-134435602.39,4711549797.6,4577114195.21,,,936338523.13,160327838.57,204590973.83,16603260.72,2679948.2,-1751035.4,60137.32,965327.33,531135607.11,-5616631.23,-131070466.51,,-18375730200.99,-7211432302.38,18005313984.75,,-5867585035.55,,,,,,4577114195.21,4711549797.6,,,,-134435602.39,,,,,,,,,,,,,,,,,,
