代码,名称,起始日期,截止日期,报表类别,币种,汇率(报表货币兑港元),固定资产,投资,其他非流动资产,非流动资产总值,流动资产总值,其中：存货,其中：现金及银行结存,总资产,短期债项,流动负债总值,长期债项,其他非流动负债及少数股东权益,总债项,股本,储备,股东权益
"	03883",中国奥园,2013/01/01,2013/06/30,半年报,人民币,1.263,2406290000,25000000,233968000,2665258000,20800121000,15635384000,3412990000,23465379000,1200647000,10820278000,5324907000,706461000,6525554000,25015000,6588718000,6613733000
"	03883",中国奥园,2013/01/01,2013/12/31,年报,人民币,1.2806,2834735000,29925000,285741000,3150401000,26781105000,19437238000,4711565000,29931506000,2411281000,14963297000,7112563000,636600000,9523844000,26347000,7192699000,7219046000
