机构ID,机构名称,公告日期,开始日期,截止日期,报告年度,合并类型,报表来源,销售商品、提供劳务收到的现金（元）,收到的税费返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金的影响,四(2)、其他原因对现金的影响,五、现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,附注：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动产生的现金流量净额2,2、不涉及现金收支的重大投资和筹资活动：,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,加：现金等价物的期末余额,减：现金等价物的期初余额,加：其他原因对现金的影响2,现金及现金等价物净增加额2,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,其中：子公司吸收少数股东投资收到的现金,其中：子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销
"	600585",海螺水泥,2016-04-27,2016-01-01,2016-03-31,2016-03-31,合并本期,定期报告,12894597957,24124854,290052933,13208775744,8460361762,1380619795,1237201014,397668052,11475850623,1732925121,4500000000,0,142510215,,281874344,4924384559,657070145,2500000000,,743652436,13780000,3914502581,1009881978,0,2037111700,,,2037111700,270000000,67832959,16163009,353995968,1683115732,377386,,4426300217,4285034364,8711334581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390000,
"	600585",海螺水泥,2016-08-23,2016-01-01,2016-06-30,2016-06-30,合并本期,定期报告,29825606614,98553174,402666612,30326826400,19913757659,2317415480,3008513933,419852304,25659539376,4667287024,10502261625,19998896,142570635,,405507841,11070338997,2020067400,2581000000,,779688864,26735350,5407491614,5662847383,63000000,4423163396,,,4486163396,7914699347,3036120698,84637938,11035457983,-6549294587,5907190,,3786747010,4285034364,8071781374,,,3460199602,-84450,2206695972,124413718,,-83661584,,-3779599,182048327,118686578,-11268643,-33513037,126760032,-721100161,-685226949,-12882782,4667287024,,,,,,8071781374,4285034364,,,,3786747010,,,,,,,,,,,,,,,,63000000,168563000,
"	600585",海螺水泥,2016-10-28,2016-01-01,2016-09-30,2016-09-30,合并本期,定期报告,47316623294,189335973,558885209,48064844476,30629277713,3568956750,5058385602,603766001,39860386066,8204458410,12799045766,23937466,185453274,,491713715,13500150221,2890173167,10000000000,,981217683,26735350,13898126200,-397975979,63000000,4839349347,,,4902349347,8632293682,3138441988,86576038,11857311708,-6954962361,10870228,,862390298,4285034364,5147424662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63000000,168563000,
"	600585",海螺水泥,2017-03-24,2016-01-01,2016-12-31,2016-12-31,合并本期,定期报告,69383366196,316142370,666399610,70365908176,44418969408,4147175684,7827868283,775142610,57169155985,13196752191,16045166789,23937466,159365829,,637332182,16865802266,4981495348,15000000000,,1328469248,108084855,21418049451,-4552247185,65063370,5704874893,,,5769938263,9243267543,3564634832,112986038,12920888413,-7150950150,20977476,,1514532332,4285034364,5799566696,,,8950642624,377847342,4497631350,255083384,,-100695917,,-6393050,369888092,-348306550,-75610292,-16315958,-240597101,-1943719091,1477297358,,13196752191,,,,,,5799566696,4285034364,,,,1514532332,,,,,,,,,,,,,,,,,279253000,
