机构ID,机构名称,公告日期,截止日期,报告年度,合并类型,报表来源,货币资金（元）,以公允价值计量且其变动计入当期损益的金融资产,应收票据,应收账款,预付款项,其他应收款,应收关联公司款,应收利息,应收股利,存货,其中：消耗性生物资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据,应付账款,预收款项,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,应付关联公司款,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,实收资本（或股本）,资本公积,盈余公积,专项储备,减：库存股,一般风险准备,未分配利润,归属于母公司所有者权益,少数股东权益,外币报表折算价差,非正常经营项目收益调整,所有者权益（或股东权益）合计,负债和所有者（或股东权益）合计,其他综合收益,递延收益-非流动负债,结算备付金,拆出资金,发放贷款及垫款-流动资产,衍生金融资产,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,划分为持有待售的资产,发放贷款及垫款-非流动资产,向中央银行借款,吸收存款及同业存放,拆入资金,衍生金融负债,卖出回购金融资产款,应付手续费及佣金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,划分为持有待售的负债,预计负债-流动负债,递延收益-流动负债,其中：优先股-非流动负债,永续债-非流动负债,长期应付职工薪酬,其他权益工具,其中：优先股-所有者权益,永续债-所有者权益
"	600585",海螺水泥,2013-04-23,2013-03-31,2013-03-31,合并本期,定期报告,9394323734,99616875,6428107261,189620375,575342102,652873491,,2065180,,4109933522,,,1040720573,22492603113,2949169694,,,2121786896,,48740794933,2945670205,1647625420,,,,5155829539,,212388755,,159354231,371858397,64304478070,86797081183,825484171,,3500000,4554452161,1057819889,115905612,729943237,599563558,,3413943473,,3277920898,,14578532999,4165340910,15469220393,354070344,,,258959579,43381066,20290972292,34869505291,5299302579,10879854411,2649651290,,,,30786449575,49611544863,2316031029,-3712992,,51927575892,86797081183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2013-08-16,2013-06-30,2013-06-30,合并本期,定期报告,9248764007,27639573,5245848965,230493769,630147775,417132861,,3274011,43460887,4053920848,,,1244649984,21145332680,2233596791,,,2170926198,33738352,49677337151,2629195065,1623076704,,,,5312810367,,212388755,,369873470,411672676,64674615529,85819948209,1289129184,,,3732328091,980794280,95785846,706339347,326275856,,3572789110,,3538031873,,14241473587,3355933183,15471040946,353374235,,,200221019,42545953,19423115336,33664588923,5299302579,10281833502,2649651290,,,,31603240010,49825838167,2329521119,-8189214,,52155359286,85819948209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2013-10-29,2013-09-30,2013-09-30,合并本期,定期报告,10219933651,32674585,5770607471,195356034,624304174,496657010,,20227061,20707808,3679685456,,,945003165,22005156415,2024366387,,,2358679638,33467685,50283772104,3344018769,1847849740,,,,5371593326,,299365993,,396191649,340713226,66300018517,88305174932,1054176789,,,3040238621,1472478495,135604264,1121047566,527340295,,3871744993,,2622821482,,13845452505,3846933183,15472918546,353149445,,,198230543,47757406,19918989123,33764441628,5299302579,10124910699,2649651290,,,,33927399011,51976631418,2564101886,-24632161,,54540733304,88305174932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	600585",海螺水泥,2014-03-25,2013-12-31,2013-12-31,合并本期,定期报告,11255936060,40959789,7185927027,358861379,726595963,407559591,,52403133,20707808,3692689510,,,882760778,24624401038,2222333165,,,2371898853,33197019,51527441426,3137392229,1964126745,,,,6048055359,,299742333,,363565125,502326529,68470078783,93094479821,471937556,,,3852487334,1261045512,562940597,1322953128,372567729,,4187384813,,2514008725,0,14545325394,3731755891,15474800927,304060187,,,219686310,53671495,19783974810,34329300204,5299302579,10273385781,2649651290,,,,37923502213,56118028303,2647151314,-27813560,,58765179617,93094479821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
